without bias model results (i/p->1, o/p->2 (expected));

w/o eps: 0.550781, w/t eps: 0.537662, w: 1.700650
w/o eps: 0.537662, w/t eps: 0.524856, w: 1.704237
w/o eps: 0.524856, w/t eps: 0.512356, w: 1.707780
w/o eps: 0.512356, w/t eps: 0.500153, w: 1.711281
w/o eps: 0.500153, w/t eps: 0.488241, w: 1.714740
w/o eps: 0.488241, w/t eps: 0.476613, w: 1.718157
w/o eps: 0.476613, w/t eps: 0.465263, w: 1.721533
w/o eps: 0.465263, w/t eps: 0.454183, w: 1.724869
w/o eps: 0.454183, w/t eps: 0.443367, w: 1.728165
w/o eps: 0.443367, w/t eps: 0.432809, w: 1.731421
w/o eps: 0.432809, w/t eps: 0.422503, w: 1.734638
w/o eps: 0.422503, w/t eps: 0.412442, w: 1.737816
w/o eps: 0.412442, w/t eps: 0.402621, w: 1.740957
w/o eps: 0.402621, w/t eps: 0.393034, w: 1.744059
w/o eps: 0.393034, w/t eps: 0.383675, w: 1.747125
w/o eps: 0.383675, w/t eps: 0.374540, w: 1.750153
w/o eps: 0.374540, w/t eps: 0.365623, w: 1.753146
w/o eps: 0.365623, w/t eps: 0.356917, w: 1.756102
w/o eps: 0.356917, w/t eps: 0.348420, w: 1.759023
w/o eps: 0.348420, w/t eps: 0.340125, w: 1.761909
w/o eps: 0.340125, w/t eps: 0.332027, w: 1.764760
w/o eps: 0.332027, w/t eps: 0.324123, w: 1.767577
w/o eps: 0.324123, w/t eps: 0.316406, w: 1.770360
w/o eps: 0.316406, w/t eps: 0.308875, w: 1.773110
w/o eps: 0.308875, w/t eps: 0.301522, w: 1.775827
w/o eps: 0.301522, w/t eps: 0.294345, w: 1.778511
w/o eps: 0.294345, w/t eps: 0.287338, w: 1.781163
w/o eps: 0.287338, w/t eps: 0.280499, w: 1.783783
w/o eps: 0.280499, w/t eps: 0.273822, w: 1.786372
w/o eps: 0.273822, w/t eps: 0.267305, w: 1.788929
w/o eps: 0.267305, w/t eps: 0.260943, w: 1.791456
w/o eps: 0.260943, w/t eps: 0.254732, w: 1.793953
w/o eps: 0.254732, w/t eps: 0.248670, w: 1.796420
w/o eps: 0.248670, w/t eps: 0.242752, w: 1.798857
w/o eps: 0.242752, w/t eps: 0.236974, w: 1.801265
w/o eps: 0.236974, w/t eps: 0.231335, w: 1.803644
w/o eps: 0.231335, w/t eps: 0.225830, w: 1.805994
w/o eps: 0.225830, w/t eps: 0.220456, w: 1.808316
w/o eps: 0.220456, w/t eps: 0.215210, w: 1.810611
w/o eps: 0.215210, w/t eps: 0.210089, w: 1.812877
w/o eps: 0.210089, w/t eps: 0.205091, w: 1.815117
w/o eps: 0.205091, w/t eps: 0.200211, w: 1.817330
w/o eps: 0.200211, w/t eps: 0.195447, w: 1.819516
w/o eps: 0.195447, w/t eps: 0.190797, w: 1.821676
w/o eps: 0.190797, w/t eps: 0.186258, w: 1.823810
w/o eps: 0.186258, w/t eps: 0.181827, w: 1.825918
w/o eps: 0.181827, w/t eps: 0.177502, w: 1.828001
w/o eps: 0.177502, w/t eps: 0.173279, w: 1.830059
w/o eps: 0.173279, w/t eps: 0.169157, w: 1.832093
w/o eps: 0.169157, w/t eps: 0.165134, w: 1.834101
w/o eps: 0.165134, w/t eps: 0.161206, w: 1.836086
w/o eps: 0.161206, w/t eps: 0.157372, w: 1.838047
w/o eps: 0.157372, w/t eps: 0.153629, w: 1.839985
w/o eps: 0.153629, w/t eps: 0.149975, w: 1.841899
w/o eps: 0.149975, w/t eps: 0.146409, w: 1.843790
w/o eps: 0.146409, w/t eps: 0.142927, w: 1.845659
w/o eps: 0.142927, w/t eps: 0.139528, w: 1.847505
w/o eps: 0.139528, w/t eps: 0.136210, w: 1.849329
w/o eps: 0.136210, w/t eps: 0.132971, w: 1.851131
w/o eps: 0.132971, w/t eps: 0.129810, w: 1.852912
w/o eps: 0.129810, w/t eps: 0.126723, w: 1.854671
w/o eps: 0.126723, w/t eps: 0.123710, w: 1.856409
w/o eps: 0.123710, w/t eps: 0.120769, w: 1.858126
w/o eps: 0.120769, w/t eps: 0.117898, w: 1.859823
w/o eps: 0.117898, w/t eps: 0.115095, w: 1.861499
w/o eps: 0.115095, w/t eps: 0.112359, w: 1.863155
w/o eps: 0.112359, w/t eps: 0.109688, w: 1.864791
w/o eps: 0.109688, w/t eps: 0.107081, w: 1.866408
w/o eps: 0.107081, w/t eps: 0.104536, w: 1.868005
w/o eps: 0.104536, w/t eps: 0.102051, w: 1.869583
w/o eps: 0.102051, w/t eps: 0.099626, w: 1.871142
w/o eps: 0.099626, w/t eps: 0.097258, w: 1.872683
w/o eps: 0.097258, w/t eps: 0.094947, w: 1.874205
w/o eps: 0.094947, w/t eps: 0.092691, w: 1.875708
w/o eps: 0.092691, w/t eps: 0.090488, w: 1.877194
w/o eps: 0.090488, w/t eps: 0.088338, w: 1.878661
w/o eps: 0.088338, w/t eps: 0.086240, w: 1.880111
w/o eps: 0.086240, w/t eps: 0.084191, w: 1.881544
w/o eps: 0.084191, w/t eps: 0.082191, w: 1.882960
w/o eps: 0.082191, w/t eps: 0.080238, w: 1.884358
w/o eps: 0.080238, w/t eps: 0.078332, w: 1.885740
w/o eps: 0.078332, w/t eps: 0.076471, w: 1.887105
w/o eps: 0.076471, w/t eps: 0.074655, w: 1.888454
w/o eps: 0.074655, w/t eps: 0.072882, w: 1.889787
w/o eps: 0.072882, w/t eps: 0.071151, w: 1.891103
w/o eps: 0.071151, w/t eps: 0.069461, w: 1.892404
w/o eps: 0.069461, w/t eps: 0.067812, w: 1.893689
w/o eps: 0.067812, w/t eps: 0.066202, w: 1.894959
w/o eps: 0.066202, w/t eps: 0.064630, w: 1.896214
w/o eps: 0.064630, w/t eps: 0.063095, w: 1.897453
w/o eps: 0.063095, w/t eps: 0.061597, w: 1.898678
w/o eps: 0.061597, w/t eps: 0.060135, w: 1.899888
w/o eps: 0.060135, w/t eps: 0.058707, w: 1.901083
w/o eps: 0.058707, w/t eps: 0.057314, w: 1.902264
w/o eps: 0.057314, w/t eps: 0.055953, w: 1.903431
w/o eps: 0.055953, w/t eps: 0.054625, w: 1.904584
w/o eps: 0.054625, w/t eps: 0.053329, w: 1.905723
w/o eps: 0.053329, w/t eps: 0.052063, w: 1.906848
w/o eps: 0.052063, w/t eps: 0.050828, w: 1.907960
w/o eps: 0.050828, w/t eps: 0.049622, w: 1.909059
w/o eps: 0.049622, w/t eps: 0.048445, w: 1.910144
w/o eps: 0.048445, w/t eps: 0.047295, w: 1.911216
w/o eps: 0.047295, w/t eps: 0.046173, w: 1.912276
w/o eps: 0.046173, w/t eps: 0.045078, w: 1.913322
w/o eps: 0.045078, w/t eps: 0.044009, w: 1.914357
w/o eps: 0.044009, w/t eps: 0.042965, w: 1.915378
w/o eps: 0.042965, w/t eps: 0.041946, w: 1.916388
w/o eps: 0.041946, w/t eps: 0.040951, w: 1.917385
w/o eps: 0.040951, w/t eps: 0.039980, w: 1.918370
w/o eps: 0.039980, w/t eps: 0.039032, w: 1.919344
w/o eps: 0.039032, w/t eps: 0.038107, w: 1.920306
w/o eps: 0.038107, w/t eps: 0.037203, w: 1.921256
w/o eps: 0.037203, w/t eps: 0.036322, w: 1.922195
